gameid,league,date,time_min,gold_diff,xp_diff,cs_diff,kill_diff,prior_p_blue,blue_wins
LOLTMNT03_340003,LCK,2026-01-22T12:11:59+00:00,20,-1486.0,-799.0,-14.0,2,0.862650261582801,1
LOLTMNT03_340003,LCK,2026-01-22T12:11:59+00:00,25,1968.0,7549.0,37.0,7,0.862650261582801,1
LOLTMNT03_341143,LCK,2026-01-23T08:04:55+00:00,10,415.0,329.0,-12.0,1,0.75442609641232,1
LOLTMNT03_341143,LCK,2026-01-23T08:04:55+00:00,15,1942.0,2127.0,21.0,2,0.75442609641232,1
LOLTMNT03_341143,LCK,2026-01-23T08:04:55+00:00,20,3039.0,1202.0,10.0,3,0.75442609641232,1
LOLTMNT03_341143,LCK,2026-01-23T08:04:55+00:00,25,3833.0,3307.0,52.0,2,0.75442609641232,1
LOLTMNT03_341150,LCK,2026-01-23T09:00:11+00:00,10,-717.0,-264.0,27.0,-2,0.78147372355984,1
LOLTMNT03_341150,LCK,2026-01-23T09:00:11+00:00,15,-317.0,153.0,50.0,-4,0.78147372355984,1
LOLTMNT03_341150,LCK,2026-01-23T09:00:11+00:00,20,-3751.0,-2324.0,36.0,-9,0.78147372355984,1
LOLTMNT03_341150,LCK,2026-01-23T09:00:11+00:00,25,-8410.0,-9002.0,-12.0,-14,0.78147372355984,1
LOLTMNT03_340138,LCK,2026-01-23T10:33:19+00:00,10,-837.0,135.0,0.0,-1,0.417183708077733,1
LOLTMNT03_340138,LCK,2026-01-23T10:33:19+00:00,15,-4528.0,-3179.0,-28.0,-6,0.417183708077733,1
LOLTMNT03_340138,LCK,2026-01-23T10:33:19+00:00,20,-3373.0,-1611.0,-34.0,-3,0.417183708077733,1
LOLTMNT03_340138,LCK,2026-01-23T10:33:19+00:00,25,-139.0,4716.0,-44.0,0,0.417183708077733,1
LOLTMNT03_340145,LCK,2026-01-23T11:24:18+00:00,10,-460.0,-113.0,-11.0,0,0.449002135488295,0
LOLTMNT03_340145,LCK,2026-01-23T11:24:18+00:00,15,567.0,64.0,-23.0,2,0.449002135488295,0
LOLTMNT03_340145,LCK,2026-01-23T11:24:18+00:00,20,-866.0,-1650.0,-38.0,0,0.449002135488295,0
LOLTMNT03_340145,LCK,2026-01-23T11:24:18+00:00,25,1200.0,826.0,-32.0,2,0.449002135488295,0
LOLTMNT03_341173,LCK,2026-01-23T12:21:14+00:00,10,261.0,-167.0,20.0,0,0.70315772694271,0
